"V1" "V2" "V3" "V4"
"1" 0.889943176860315 0.0417670900967289 0.0682897330429561 1
"2" 0.856188318262265 0.111566946387929 0.0322447353498053 1
"3" 0.26346569646386 0.72241353563448 0.0141207679016597 2
"4" 0.0158795871581858 0.969664100889744 0.0144563119520703 2
"5" 0.838860469915849 0.0714041634073408 0.0897353666768105 1
"6" 0.0652111338094311 0.0393765408986043 0.895412325291965 3
"7" 0.14107891626706 0.020616425002924 0.838304658730016 3
"8" 0.0292319217878809 0.960439953346049 0.0103281248660703 2
"9" 0.291276640174967 0.666457962419045 0.0422653974059881 2
"10" 0.673507132988318 0.134533577431948 0.191959289579735 1
"11" 0.482263875004722 0.265958377772944 0.251777747222334 1
"12" 0.0234143623422559 0.147007503399826 0.829578134257918 3
"13" 0.123182054832857 0.032957407223454 0.843860537943689 3
"14" 0.188078299372655 0.739537345718267 0.0723843549090774 2
"15" 0.0520166043472533 0.926543104092778 0.0214402915599691 2
"16" 0.619001499632415 0.196694596048656 0.184303904318929 1
"17" 0.683369815051661 0.227386887654133 0.0892432972942066 1
"18" 0.0906999672301595 0.0167317272008058 0.892568305569035 3
"19" 0.11272286069199 0.842137772106151 0.0451393672018587 2
"20" 0.0363651240620577 0.937224277227921 0.0264105987100208 2
"21" 0.244305180841944 0.586185130053736 0.16950968910432 2
"22" 0.495691687571539 0.419360098103995 0.0849482143244667 1
"23" 0.470146878957573 0.373551746987435 0.156301374054992 1
"24" 0.0339392884711954 0.033920150417595 0.93214056111121 3
"25" 0.00759838132676049 0.986208937832135 0.00619268084110436 2
"26" 0.258389293462061 0.725756800779336 0.0158539057586026 2
"27" 0.0598252626218924 0.92689822165656 0.0132765157215478 2
"28" 0.796618170075887 0.0762356561054302 0.127146173818683 1
"29" 0.841324513996173 0.113505904560643 0.0451695814431836 1
"30" 0.0485024072554204 0.105517873989177 0.845979718755402 3
"31" 0.050128581119438 0.94128864056282 0.00858277831774198 2
"32" 0.0188216756119316 0.969592854700198 0.0115854696878704 2
"33" 0.635813732688396 0.297400948697873 0.0667853186137309 1
"34" 0.646133288171264 0.187214026145631 0.166652685683105 1
"35" 0.133292184325845 0.0274771521492457 0.839230663524909 3
"36" 0.0434566838402321 0.0471672705058069 0.909376045653961 3
"37" 0.230354662669343 0.62376351874064 0.145881818590017 2
"38" 0.0203848422577432 0.952250628592491 0.0273645291497657 2
"39" 0.651784599063103 0.161134321431358 0.18708107950554 1
"40" 0.47932105106321 0.0363030878185734 0.484375861118217 3
"41" 0.084428229714971 0.0165225779789442 0.899049192306085 3
"42" 0.0667117948647325 0.90982677041471 0.023461434720557 2
"43" 0.282974358290851 0.701664032783429 0.0153616089257199 2
"44" 0.541400908712639 0.340841161958851 0.11775792932851 1
"45" 0.653741831157868 0.266653804166979 0.0796043646751531 1
"46" 0.105893518544909 0.0279023384621585 0.866204142992933 3
"47" 0.264542820147391 0.71474851325201 0.0207086666005985 2
"48" 0.0117946141996515 0.981319838951514 0.00688554684883456 2
"49" 0.158288402673231 0.811644280164543 0.0300673171622268 2
"50" 0.820427644547177 0.0932575749866635 0.0863147804661598 1
"51" 0.825397997313734 0.0741164495767404 0.100485553109526 1
"52" 0.107125145715556 0.0318973177987356 0.860977536485708 3
"53" 0.400241099883529 0.548265474576735 0.0514934255397368 2
"54" 0.0190579776933527 0.961471629619545 0.0194703926871019 2
"55" 0.349452826360812 0.580612997525343 0.069934176113845 2
"56" 0.657088485649321 0.145501328851565 0.197410185499114 1
"57" 0.47233028330356 0.311445141256893 0.216224575439546 1
"58" 0.0177544646284452 0.135427059601086 0.846818475770469 3
"59" 0.0180538810017407 0.282835636555373 0.699110482442886 3
"60" 0.135262429593908 0.838557456035644 0.0261801143704477 2
"61" 0.190734757114377 0.790783234078294 0.0184820088073294 2
"62" 0.790404650093326 0.146587534290649 0.0630078156160248 1
"63" 0.635763212067728 0.283630849511748 0.0806059384205243 1
"64" 0.236438555708778 0.0347435853836738 0.728817858907548 3
"65" 0.325442605104909 0.657135114788645 0.0174222801064467 2
"66" 0.0204140908565399 0.948781410651192 0.0308044984922682 2
"67" 0.736792486669689 0.181697251858797 0.0815102614715134 1
"68" 0.870439622568764 0.0598994143924761 0.06966096303876 1
"69" 0.153327794097961 0.0355573338580628 0.811114872043977 3
"70" 0.188954154682213 0.0213946789232127 0.789651166394574 3
"71" 0.0296641697167218 0.961166036865047 0.00916979341823164 2
"72" 0.0497181184624106 0.920544412344527 0.0297374691930628 2
"73" 0.844445554117182 0.0981987378649407 0.0573557080178778 1
"74" 0.737466957780031 0.128723425115251 0.133809617104717 1
"75" 0.447140124596623 0.0562997198051907 0.496560155598186 3
"76" 0.0653600197166688 0.922247525956654 0.0123924543266774 2
"77" 0.0240948918194113 0.961809218004381 0.0140958901762072 2
"78" 0.232220773977992 0.715040910113667 0.0527383159083412 2
"79" 0.649933083258407 0.287876352789555 0.0621905639520383 1
"80" 0.0307101448983576 0.0139331846981866 0.955356670403456 3
"81" 0.0169457456238615 0.9521692533089 0.0308850010672388 2
"82" 0.244253415500136 0.488219864989677 0.267526719510187 2
"83" 0.845289186401047 0.0814845876205662 0.0732262259783863 1
"84" 0.626223340319104 0.300925257216618 0.0728514024642777 1
"85" 0.460501922070418 0.0565689458535618 0.48292913207602 3
"86" 0.0292641190602724 0.0303298408249434 0.940406040114784 3
"87" 0.0622522034971276 0.90953203752976 0.0282157589731123 2
"88" 0.0113678754068428 0.962919317058562 0.0257128075345951 2
"89" 0.660683231985883 0.166288333151743 0.173028434862374 1
"90" 0.767763897032781 0.177640913778006 0.0545951891892125 1
"91" 0.27743153644595 0.0337531478681378 0.688815315685912 3
"92" 0.023109145986524 0.968775921298805 0.00811493271467117 2
"93" 0.28968183875724 0.670531347224898 0.0397868140178616 2
"94" 0.582347517915948 0.185798123175348 0.231854358908704 1
"95" 0.152307072813921 0.0210125154584405 0.826680411727639 3
"96" 0.0511229959446827 0.0224216138584582 0.926455390196859 3
"97" 0.105116891882049 0.781375996805371 0.11350711131258 2
"98" 0.278197197483769 0.712205905634555 0.00959689688167544 2
"99" 0.863386570516826 0.0501929602667974 0.0864204692163765 1
"100" 0.607173496205472 0.261422227315569 0.13140427647896 1
"101" 0.0494944558967302 0.0907267848794247 0.859778759223845 3
"102" 0.0154405894148529 0.953951172623346 0.0306082379618009 2
"103" 0.160876793006749 0.693456502994199 0.145666703999052 2
"104" 0.140495251476887 0.822246627426237 0.0372581210968766 2
"105" 0.852893524622583 0.111309543306172 0.0357969320712443 1
"106" 0.794661664615742 0.0539244697377816 0.151413865646477 1
"107" 0.132200183384063 0.044387756196867 0.82341206041907 3
"108" 0.299102152255995 0.67594155023599 0.0249562975080155 2
"109" 0.0804778029553165 0.90557699401935 0.0139452030253334 2
"110" 0.0242642698552617 0.9652150281344 0.0105207020103385 2
"111" 0.83238803202138 0.086849568921398 0.0807623990572224 1
"112" 0.65030744646067 0.130986336232445 0.218706217306884 1
"113" 0.0947565094345161 0.160434622367617 0.744808868197867 3
"114" 0.250711692578067 0.0285648937621853 0.720723413659748 3
"115" 0.0610977449809692 0.928638497058306 0.0102637579607244 2
"116" 0.209698754796121 0.725619002466333 0.0646822427375456 2
"117" 0.755285272722246 0.119439497566308 0.125275229711445 1
"118" 0.675480772631074 0.250923403791711 0.0735958235772143 1
"119" 0.184544425805163 0.0455007392116659 0.769954834983171 3
"120" 0.0540715894057267 0.0333236411830516 0.912604769411222 3
"121" 0.0220263939223336 0.951886381339457 0.0260872247382094 2
"122" 0.116117741408485 0.861673074811341 0.0222091837801742 2
"123" 0.649910007148246 0.287536051950121 0.0625539409016327 1
"124" 0.252180838448296 0.0455963214775847 0.702222840074119 3
"125" 0.38778627406821 0.460435837446053 0.151777888485737 2
"126" 0.753234998432492 0.0863255377126187 0.16043946385489 1
"127" 0.56245581594793 0.154550827162624 0.282993356889446 1
"128" 0.406618813034219 0.572742020288354 0.0206391666774274 2
"129" 0.0445694624072107 0.931374655296763 0.0240558822960266 2
"130" 0.354613372001932 0.628225439013456 0.0171611889846121 2
"131" 0.649376619426681 0.226467601540955 0.124155779032364 1
"132" 0.0510753783991417 0.0178871384363511 0.931037483164507 3
